OBJECTID,Name,Anzahl der Einwohnerinnen und Einwohner,Anzahl der Kinder und Jugendlichen unter 18 Jahren,Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bev,Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren,Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an de,Anzahl ausländischer Einwohnerinnen und Einwohner,Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-,Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migration,Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hi,Anzahl der Haushalte,Durchschnittliche Anzahl der Personen je Haushalt,Anzahl der Einpersonen-haushalte,"Anteil der Haushalte, in denen nur eine Person lebt, an allen Ha",Anzahl der Haushalte mit Kindern,"Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen",Fläche in km²,Einwohnerinnen und Einwohner je km²,Anzahl der Lebendgeborenen,Anzahl der Sterbefälle,Zuzüge über die Stadtteilgrenze im Jahr 2017,Fortzüge über die Stadtteilgrenze im Jahr 2017,Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze,Sozial-versicherungs-pflichtig Beschäftigte am Wohnort,Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort a,Anzahl der Arbeitslosen,Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-J,Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren,Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jü,Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren,Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den ält,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anzahl der Bedarfs-gemeinschaften nach SGB II,Anzahl der Lohn- und Einkommen-steuerpflichtigen (2013),Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einko,Anzahl der Wohngebäude,Anzahl der Wohnungen,Anzahl der bezugsfertig gewordenen Wohnungen im Jahr,Anzahl der Wohnungen in Ein- und Zweifamilien-häusern,Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen W,Durchschnittliche Wohnungsgröße in m²,Durchschnittliche Wohnfläche je Einwohner/-in in m²,Anzahl der Sozialwohnungen,Anteil der Sozialwohnungen an allen Wohnungen,Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2022,Anteil der Sozialwohnungen mit Bindungsauslauf bis 2022 an allen,Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²,Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilien,Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in,Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahre,Anzahl der Grundschulen,Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wo,Anteil der Schülerinnen und Schüler in Stadtteilschulen an allen,Anteil der Schülerinnen und Schüler in Gymnasien an allen Schüle,Anzahl der niedergelassenen Ärzte,Anzahl der Allgemeinärzte,Anzahl der Zahnärzte,Anzahl der Apotheken,Anzahl privater PKW,Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner,Shape__Area,Shape__Length
1,Hamburg-Altstadt,2305,277,12.0173535791757,256,11.1062906724512,506,21.9522776572668,990,42.9128738621586,182,65.7039711191336,1508,1.59283819628647,939,62.2679045092838,187,12.4005305039788,47,25.1336898395722,1.30034722827,1772.60346305087,46,8,344,343,1,1127,62.8,98,5.44142143253748,8,4.73372781065089,9,4.5,244,10.58568329718,63,25.4032258064516,136,1952,31336,99,1346,2,17,1.2630014858841,73.3893016344725,42.8555314533623,189,14.0416047548291,51,27,0,0,0,1,0,61,55.7377049180328,40.9836065573771,161,48,45,8,629,272.885032537961,3676562.25585938,9028.1805322816
2,HafenCity,3627,756,20.8436724565757,333,9.18114143920596,1168,32.2029225255032,1718,47.2627235213205,512,67.6354029062087,1745,2.11575931232092,707,40.5157593123209,416,23.8395415472779,62,14.9038461538462,2.42561203,1495.29271587592,68,9,903,665,238,1191,47.5,86,3.30007674597084,11,3.19767441860465,7,2.36486486486486,487,13.4270747173973,171,24.8546511627907,205,1255,93206,86,1478,182,6,0.40595399188092,92.7970230040595,37.8147229114971,8,0.54127198917456,0,0,0,0,0,4,1,138,48.5507246376812,46.3768115942029,13,5,7,1,960,264.681555004136,6860720.38134766,13902.6913342593
3,Neustadt,12719,1456,11.4474408365438,1836,14.4350970988285,2580,20.2846135702492,4670,36.6446955430006,732,50.4827586206897,8755,1.49800114220445,6042,69.0119931467733,1006,11.4905768132496,287,28.5288270377734,2.26190223946,5623.14311295633,152,70,1819,1813,6,5671,58.7,504,5.23636363636364,26,2.54652301665034,106,7.54985754985755,969,7.61852346882617,151,12.0031796502385,666,7015,34521,641,7482,49,67,0.895482491312483,63.0072173215718,37.0642346096391,1360,18.1769580326116,617,45.4,0,0,0,11,1,400,50,48.25,173,18,76,9,3131,246.167151505622,6395226.11914063,11133.9231140935
4,St. Pauli,22501,2991,13.2927425447758,2150,9.55513088307186,4880,21.687924981112,8309,36.8013110107184,1435,48.0093676814988,15163,1.53234847985227,10462,68.9969003495351,1974,13.0185319527798,638,32.3201621073962,2.2424876661,10033.945934308,239,150,2933,2823,110,9368,52.8,1316,7.42035522977164,60,3.18640467339352,220,10.3141115799344,2987,13.2749655570864,607,23.2033639143731,1933,11066,27977,1281,12481,100,169,1.35405816841599,64.2342760996715,35.6298831163059,1828,14.6462623187245,438,24,0,0,0,18,1,818,56.479217603912,39.2420537897311,39,11,15,8,4370,194.213590507089,6343532.83642578,15968.6751231211
5,St. Georg,11055,1108,10.0226142017187,1397,12.636815920398,2552,23.0845771144279,4274,38.6088527551942,588,52.7354260089686,7207,1.51505480782572,4892,67.8784515054808,732,10.1567920077702,179,24.4535519125683,1.82265748887,6065.31949502691,116,90,2005,1770,235,4743,55.7,427,4.90973899045648,25,2.14961306964746,71,5.81967213114754,819,7.40841248303935,128,13.3194588969823,549,5683,44121,537,6091,64,56,0.919389262846823,71.0898046297816,39.1685210312076,684,11.2296831390576,260,38,0,0,0,8,3,299,43.1438127090301,54.180602006689,106,36,15,7,2300,208.05065581185,5155060.81689453,9795.65067019816
6,Hammerbrook,3939,448,11.3734450368114,133,3.37649149530338,1812,46.001523229246,2470,62.4841892233746,379,84.4097995545657,2009,1.55450472872076,1314,65.4056744649079,201,10.0049776007964,55,27.363184079602,2.4959865878,1578.13348006485,61,8,1356,1615,-259,1645,47.4,248,7.25358291898216,29,3.34486735870819,26,12.807881773399,724,18.3802995684184,155,40.0516795865633,475,1199,19468,86,1877,203,6,0.319659030367608,56.9035695258391,27.1155115511551,219,11.6675546084177,0,0,860,0,0,5,1,119,62.1848739495798,27.7310924369748,0,0,12,0,497,126.174155877126,7055490.01220703,11837.7338220929
7,Borgfelde,7635,834,10.9233791748527,923,12.0890635232482,2201,28.8277668631303,3403,44.483660130719,588,70.7581227436823,4462,1.47870909905872,3065,68.691169878978,441,9.88346033168983,125,28.3446712018141,0.8218548059,9289.96210180828,72,54,1631,1530,101,3296,56,302,5.05439330543933,25,2.01126307320998,49,7.53846153846154,888,11.6306483300589,224,30.393487109905,508,3643,26217,380,4379,30,43,0.981959351450103,55.5430463576159,31.8563195808775,134,3.06005937428637,34,25.4,664,0,0,3,0,211,55.4502369668246,40.7582938388626,3,2,4,2,1645,215.455140798952,2324896.81640625,6758.11594441057
8,Hamm,38716,4453,11.5017047215621,5398,13.9425560491786,7037,18.175947928505,13792,35.6198347107438,2795,62.9362756136005,26171,1.4945168316075,17808,68.0447823927248,2871,10.9701578082611,888,30.9299895506792,3.8888000964,9955.77017081459,487,331,5488,5066,422,18895,65.2,1542,5.23972951850216,90,2.19512195121951,236,6.37321091007291,3952,10.2076660812067,980,25.1992800205708,2304,21255,25745,2314,23287,45,258,1.10791428694121,58.7113410915962,35.3138495712367,1228,5.27332846652639,99,8.1,397,0,0,15,4,1168,57.791095890411,38.6986301369863,25,11,28,6,10136,261.803905362124,10997668.8198242,15696.3122952373
9,Horn,38569,6001,15.5591277969354,6039,15.6576525188623,9906,25.6838393528481,19729,51.1166960306768,4474,74.5169886742172,22763,1.70618986952511,13535,59.4605280499055,3596,15.7975662258929,1188,33.0367074527253,5.8975949211,6539.78452504606,439,417,4622,4587,35,15209,55.6,1885,6.875045590488,137,2.76376840831148,283,6.7284831193533,6428,16.6662345406933,1844,36.0719874804382,3345,17772,21685,2760,19338,42,994,5.14013858723756,60.8753749095046,30.522129171096,1637,8.46519805564174,101,6.2,382,0,0,15,5,1854,65.2642934196332,29.7734627831715,37,21,14,6,10075,261.22015089839,16677328.487793,18464.4311496976
10,Billstedt,70539,13653,19.3552502870752,12646,17.9276712173408,17768,25.1889025928919,40525,57.4521173284943,10337,76.0241229683018,35135,2.00512309662729,16421,46.7368720648926,7814,22.239931692045,2378,30.4325569490658,16.9238394039,4168.02584310418,873,694,5825,5470,355,24312,52.4,3842,8.24959202954565,339,4.00803972570348,572,6.42913341575812,14833,21.0280837550858,4459,39.3869799487678,6906,29100,23247,7970,31632,46,6274,19.8343449671219,72.3471800708144,32.4428472192688,7450,23.5520991401113,0,34.4,401,0,0,26,8,4504,67.4733570159858,29.0408525754885,95,45,33,8,21704,307.687945675442,47838196.7382813,36971.2979537312
